DOY,DOW,year,hour,year_time,year_day,E_V_m_Wank,E_V_m_Wank_valid_obs,Wind_m_s_Wank,NOX_ug_m3_Wank,Vis_km_Wank,temp_no_seasonality
4,3,1977,15,1977.01267123288,1977.01095890411,131,1,2.9,NaN,1.07,-1.66854838709678
4,3,1977,16,1977.01278538813,1977.01095890411,144,1,2.6,NaN,1,-1.46854838709678
4,3,1977,17,1977.01289954338,1977.01095890411,163,1,2.2,NaN,1,-0.768548387096775
4,3,1977,18,1977.01301369863,1977.01095890411,183,1,2.5,NaN,1,-0.468548387096775
4,3,1977,19,1977.01312785388,1977.01095890411,187,1,2.8,NaN,1,-0.668548387096775
4,3,1977,20,1977.01324200913,1977.01095890411,214,1,2.3,NaN,1,-0.468548387096775
4,3,1977,21,1977.01335616438,1977.01095890411,290,0,1.6,NaN,1,0.531451612903225
4,3,1977,22,1977.01347031963,1977.01095890411,292,0,1.4,NaN,3.63,1.13145161290322
4,3,1977,23,1977.01358447489,1977.01095890411,250,1,1.8,NaN,27.48,1.33145161290323
5,4,1977,0,1977.01369863014,1977.01369863014,89,1,2.6,NaN,52.41,1.20719696969697
5,4,1977,1,1977.01381278539,1977.01369863014,82,1,3.4,NaN,56,1.50719696969697
5,4,1977,2,1977.01392694064,1977.01369863014,71,1,4.3,NaN,59.71,2.40719696969697
5,4,1977,3,1977.01404109589,1977.01369863014,67,1,5.4,NaN,64.58,3.10719696969697
5,4,1977,4,1977.01415525114,1977.01369863014,66,0,6.3,NaN,66.53,3.30719696969697
5,4,1977,5,1977.01426940639,1977.01369863014,66,0,6.7,NaN,69.63,4.00719696969697
5,4,1977,6,1977.01438356164,1977.01369863014,62,0,6.2,NaN,72.71,4.40719696969697
5,4,1977,7,1977.01449771689,1977.01369863014,56,1,5,NaN,73.18,4.70719696969697
5,4,1977,8,1977.01461187215,1977.01369863014,56,1,4.3,NaN,72.71,5.20719696969697
5,4,1977,9,1977.0147260274,1977.01369863014,52,1,4.6,NaN,74.24,5.80719696969697
5,4,1977,10,1977.01484018265,1977.01369863014,42,1,4.4,NaN,75.27,6.10719696969697
5,4,1977,11,1977.0149543379,1977.01369863014,47,1,3.5,NaN,78.07,7.20719696969697
5,4,1977,12,1977.01506849315,1977.01369863014,66,1,3.1,NaN,80.36,8.40719696969697
5,4,1977,13,1977.0151826484,1977.01369863014,79,1,3.4,NaN,79.99,8.00719696969697
5,4,1977,14,1977.01529680365,1977.01369863014,80,1,3.7,NaN,79,6.50719696969697
5,4,1977,15,1977.0154109589,1977.01369863014,89,1,2.7,NaN,77.55,5.90719696969697
5,4,1977,16,1977.01552511416,1977.01369863014,91,1,2.5,NaN,77.95,5.60719696969697
5,4,1977,17,1977.01563926941,1977.01369863014,83,1,3.6,NaN,76.68,5.40719696969697
5,4,1977,18,1977.01575342466,1977.01369863014,86,1,3.6,NaN,74.93,5.10719696969697
5,4,1977,19,1977.01586757991,1977.01369863014,89,1,3.1,NaN,76.28,4.60719696969697
5,4,1977,20,1977.01598173516,1977.01369863014,93,1,3.3,NaN,74.29,4.30719696969697
5,4,1977,21,1977.01609589041,1977.01369863014,89,1,3.7,NaN,72.65,4.30719696969697
5,4,1977,22,1977.01621004566,1977.01369863014,80,1,3.6,NaN,73.88,4.40719696969697
5,4,1977,23,1977.01632420091,1977.01369863014,78,1,3.5,NaN,76.43,4.40719696969697
6,5,1977,0,1977.01643835616,1977.01643835616,61,1,3,NaN,80.17,3.68522727272727
6,5,1977,1,1977.01655251142,1977.01643835616,59,1,2.8,NaN,82.21,4.08522727272727
6,5,1977,2,1977.01666666667,1977.01643835616,53,1,3.3,NaN,83.24,4.38522727272727
6,5,1977,3,1977.01678082192,1977.01643835616,48,1,3,NaN,82.02,4.28522727272727
6,5,1977,4,1977.01689497717,1977.01643835616,51,1,2.3,NaN,83.47,4.28522727272727
6,5,1977,5,1977.01700913242,1977.01643835616,55,1,2.1,NaN,82.32,3.98522727272727
6,5,1977,6,1977.01712328767,1977.01643835616,54,1,2.6,NaN,80.32,3.68522727272727
6,5,1977,7,1977.01723744292,1977.01643835616,51,1,2.8,NaN,80.4,3.58522727272727
6,5,1977,8,1977.01735159817,1977.01643835616,46,1,2.6,NaN,79.68,4.18522727272727
6,5,1977,9,1977.01746575342,1977.01643835616,40,1,2.4,NaN,80.67,5.38522727272727
6,5,1977,10,1977.01757990868,1977.01643835616,40,1,3.6,NaN,79.36,5.58522727272727
6,5,1977,11,1977.01769406393,1977.01643835616,50,1,5.2,NaN,77.78,5.18522727272727
6,5,1977,12,1977.01780821918,1977.01643835616,57,1,5.1,NaN,79.43,5.78522727272727
6,5,1977,13,1977.01792237443,1977.01643835616,62,1,4.2,NaN,81.58,6.68522727272727
6,5,1977,14,1977.01803652968,1977.01643835616,70,1,3.3,NaN,82.35,6.88522727272727
6,5,1977,15,1977.01815068493,1977.01643835616,69,1,3.1,NaN,81.94,6.18522727272727
6,5,1977,16,1977.01826484018,1977.01643835616,65,1,3,NaN,81.18,5.38522727272727
6,5,1977,17,1977.01837899543,1977.01643835616,68,1,3.4,NaN,81.21,4.48522727272727
6,5,1977,18,1977.01849315068,1977.01643835616,72,1,3.8,NaN,82.22,3.78522727272727
6,5,1977,19,1977.01860730594,1977.01643835616,71,1,3.5,NaN,82.83,3.58522727272727
6,5,1977,20,1977.01872146119,1977.01643835616,70,1,3.8,NaN,78.79,3.58522727272727
6,5,1977,21,1977.01883561644,1977.01643835616,66,1,3.8,NaN,78.83,3.28522727272727
6,5,1977,22,1977.01894977169,1977.01643835616,59,1,3.4,NaN,84.38,3.18522727272727
6,5,1977,23,1977.01906392694,1977.01643835616,56,1,3.5,NaN,86.78,3.28522727272727
7,6,1977,0,1977.01917808219,1977.01917808219,48,1,3.5,NaN,87.15,4.32689393939394
7,6,1977,1,1977.01929223744,1977.01917808219,45,1,3.6,NaN,86.22,3.72689393939394
7,6,1977,2,1977.01940639269,1977.01917808219,40,1,3.8,NaN,86.33,3.52689393939394
7,6,1977,3,1977.01952054795,1977.01917808219,39,1,3.7,NaN,85.49,3.62689393939394
7,6,1977,4,1977.0196347032,1977.01917808219,45,1,3.9,NaN,82.9,3.42689393939394
7,6,1977,5,1977.01974885845,1977.01917808219,53,1,4.1,NaN,82.23,2.72689393939394
7,6,1977,6,1977.0198630137,1977.01917808219,55,1,4.1,NaN,82.69,2.22689393939394
7,6,1977,7,1977.01997716895,1977.01917808219,57,1,3.7,NaN,80.33,2.32689393939394
7,6,1977,8,1977.0200913242,1977.01917808219,58,1,3.7,NaN,76.78,2.62689393939394
7,6,1977,9,1977.02020547945,1977.01917808219,42,1,3.9,NaN,75.66,2.92689393939394
7,6,1977,10,1977.0203196347,1977.01917808219,38,1,4.7,NaN,75.33,3.32689393939394
7,6,1977,11,1977.02043378995,1977.01917808219,36,1,5.3,NaN,75.51,3.12689393939394
7,6,1977,12,1977.02054794521,1977.01917808219,41,0,5.6,NaN,73.67,3.02689393939394
7,6,1977,13,1977.02066210046,1977.01917808219,51,1,5,NaN,72.41,3.32689393939394
7,6,1977,14,1977.02077625571,1977.01917808219,63,1,4.3,NaN,72.83,3.22689393939394
7,6,1977,15,1977.02089041096,1977.01917808219,68,1,5.3,NaN,66.12,2.52689393939394
7,6,1977,16,1977.02100456621,1977.01917808219,73,0,6.4,NaN,52.79,0.726893939393939
7,6,1977,17,1977.02111872146,1977.01917808219,78,0,7.1,1.8,48.43,-0.273106060606061
7,6,1977,18,1977.02123287671,1977.01917808219,78,0,7.3,1.4,54.93,-0.273106060606061
7,6,1977,19,1977.02134703196,1977.01917808219,81,0,8.4,0.8,60.33,-0.273106060606061
7,6,1977,20,1977.02146118721,1977.01917808219,82,0,8.9,0.5,63.34,-0.173106060606061
7,6,1977,21,1977.02157534247,1977.01917808219,93,0,8.1,0.6,39.85,-0.973106060606061
7,6,1977,22,1977.02168949772,1977.01917808219,104,0,7.1,1,8.4,-2.07310606060606
7,6,1977,23,1977.02180365297,1977.01917808219,105,0,6.3,1.2,1.49,-2.37310606060606
8,7,1977,0,1977.02191780822,1977.02191780822,67,0,6.8,1,6.84,-2.23371212121212
8,7,1977,1,1977.02203196347,1977.02191780822,59,0,7.4,0.9,20.39,-2.43371212121212
8,7,1977,2,1977.02214611872,1977.02191780822,46,0,6.7,0.7,30.4,-2.83371212121212
8,7,1977,3,1977.02226027397,1977.02191780822,42,0,6,0.7,20.79,-3.03371212121212
8,7,1977,4,1977.02237442922,1977.02191780822,66,0,6.2,0.6,5.37,-2.93371212121212
8,7,1977,5,1977.02248858447,1977.02191780822,122,0,5.9,0.6,1.18,-2.73371212121212
8,7,1977,6,1977.02260273973,1977.02191780822,133,1,4.8,0.9,1.06,-2.73371212121212
8,7,1977,7,1977.02271689498,1977.02191780822,105,1,4.6,1.5,1,-2.43371212121212
8,7,1977,8,1977.02283105023,1977.02191780822,116,1,4.8,2.4,1,-1.83371212121212
8,7,1977,9,1977.02294520548,1977.02191780822,123,1,3.5,2.9,1,-1.03371212121212
8,7,1977,10,1977.02305936073,1977.02191780822,98,1,2.8,2.9,2.59,-0.23371212121212
8,7,1977,11,1977.02317351598,1977.02191780822,86,1,4.1,2.5,12.09,-0.93371212121212
8,7,1977,12,1977.02328767123,1977.02191780822,58,1,5,2,20.74,-2.43371212121212
8,7,1977,13,1977.02340182648,1977.02191780822,43,0,5.7,1.6,17.39,-3.03371212121212
8,7,1977,14,1977.02351598174,1977.02191780822,26,0,7.1,1.1,17.22,-2.93371212121212
8,7,1977,15,1977.02363013699,1977.02191780822,21,0,8.7,0.8,21.6,-2.73371212121212
8,7,1977,16,1977.02374429224,1977.02191780822,27,0,8.9,0.8,20.64,-2.93371212121212
8,7,1977,17,1977.02385844749,1977.02191780822,42,0,7.9,1,11.44,-3.53371212121212
8,7,1977,18,1977.02397260274,1977.02191780822,55,0,7.8,0.9,2.53,-3.73371212121212
8,7,1977,19,1977.02408675799,1977.02191780822,72,0,8.1,0.8,1.21,-3.63371212121212
8,7,1977,20,1977.02420091324,1977.02191780822,97,0,8.3,0.6,1,-3.43371212121212
8,7,1977,21,1977.02431506849,1977.02191780822,115,0,7.6,0.4,1,-3.23371212121212
8,7,1977,22,1977.02442922374,1977.02191780822,80,0,6.9,0.3,1,-2.73371212121212
8,7,1977,23,1977.024543379,1977.02191780822,42,0,6.6,0.2,1,-2.13371212121212
9,1,1977,0,1977.02465753425,1977.02465753425,45,0,6.1,0.1,1.11,-2.24810606060606
9,1,1977,1,1977.0247716895,1977.02465753425,44,1,4.8,0.1,1.11,-1.64810606060606
9,1,1977,2,1977.02488584475,1977.02465753425,44,1,3.7,0.1,1.13,-1.34810606060606
9,1,1977,3,1977.025,1977.02465753425,46,1,3.5,0.2,1.13,-1.74810606060606
9,1,1977,4,1977.02511415525,1977.02465753425,51,1,2.9,0.4,1.02,-2.24810606060606
9,1,1977,5,1977.0252283105,1977.02465753425,59,1,2.3,0.4,1.21,-1.94810606060606
9,1,1977,6,1977.02534246575,1977.02465753425,71,1,2.3,0.3,6.85,-1.64810606060606
9,1,1977,7,1977.025456621,1977.02465753425,73,1,2.1,0.3,16.92,-1.64810606060606
9,1,1977,8,1977.02557077626,1977.02465753425,74,1,2.2,0.4,21.45,-1.74810606060606
9,1,1977,9,1977.02568493151,1977.02465753425,75,1,2.1,0.5,28.72,-1.54810606060606
9,1,1977,10,1977.02579908676,1977.02465753425,67,1,1.8,0.3,40.74,-1.14810606060606
9,1,1977,11,1977.02591324201,1977.02465753425,65,1,1.9,0.3,46.36,-0.94810606060606
9,1,1977,12,1977.02602739726,1977.02465753425,61,1,2.3,0.3,52.21,-1.14810606060606
9,1,1977,13,1977.02614155251,1977.02465753425,62,1,2.5,0.3,59.21,-1.54810606060606
9,1,1977,14,1977.02625570776,1977.02465753425,73,1,2.4,0.4,47.37,-2.24810606060606
9,1,1977,15,1977.02636986301,1977.02465753425,107,1,1.8,0.6,26.19,-2.94810606060606
9,1,1977,16,1977.02648401826,1977.02465753425,154,1,1.5,1.2,14.78,-3.34810606060606
9,1,1977,17,1977.02659817352,1977.02465753425,160,1,1.9,1.3,10.01,-3.64810606060606
9,1,1977,18,1977.02671232877,1977.02465753425,131,1,2.2,0.9,16.36,-3.84810606060606
9,1,1977,19,1977.02682648402,1977.02465753425,113,1,2.5,0.6,21.78,-3.84810606060606
9,1,1977,20,1977.02694063927,1977.02465753425,93,1,2.7,0.5,21.64,-3.94810606060606
9,1,1977,21,1977.02705479452,1977.02465753425,75,1,2.9,0.5,32.57,-4.14810606060606
9,1,1977,22,1977.02716894977,1977.02465753425,54,1,2.7,0.3,54.69,-3.84810606060606
9,1,1977,23,1977.02728310502,1977.02465753425,38,1,2.3,0.2,68.76,-3.14810606060606
10,2,1977,0,1977.02739726027,1977.02739726027,48,1,2,0.2,70.65,-2.5
10,2,1977,1,1977.02751141553,1977.02739726027,47,1,2.2,0.3,70.82,-2.8
10,2,1977,2,1977.02762557078,1977.02739726027,45,1,2.5,0.3,71.31,-2.9
10,2,1977,3,1977.02773972603,1977.02739726027,43,1,2.8,0.3,71.89,-2.6
10,2,1977,4,1977.02785388128,1977.02739726027,45,1,3.8,0.3,71.22,-2.4
10,2,1977,5,1977.02796803653,1977.02739726027,50,1,4.9,0.3,68.82,-2.4
10,2,1977,6,1977.02808219178,1977.02739726027,54,1,3.8,0.3,70.11,-1.9
10,2,1977,7,1977.02819634703,1977.02739726027,53,1,3.2,0.3,69.85,-1.8
10,2,1977,8,1977.02831050228,1977.02739726027,52,1,3.6,0.2,64.84,-1.9
10,2,1977,9,1977.02842465753,1977.02739726027,57,1,3.4,0.3,65.13,-0.899999999999999
10,2,1977,10,1977.02853881279,1977.02739726027,61,1,2.9,0.2,65.81,-0.399999999999999
10,2,1977,11,1977.02865296804,1977.02739726027,60,1,3.3,0.2,64.04,0.3
10,2,1977,12,1977.02876712329,1977.02739726027,91,1,4.2,0.2,63.23,0.7
10,2,1977,13,1977.02888127854,1977.02739726027,92,1,4.5,0.4,61.85,4.44089209850063e-16
10,2,1977,14,1977.02899543379,1977.02739726027,93,1,4.9,0.5,60.13,-0.399999999999999
10,2,1977,15,1977.02910958904,1977.02739726027,90,1,3.8,0.6,59.53,-0.399999999999999
10,2,1977,16,1977.02922374429,1977.02739726027,85,1,3,0.5,59.81,-0.5
10,2,1977,17,1977.02933789954,1977.02739726027,89,1,3.2,0.4,58.43,-0.6
10,2,1977,18,1977.02945205479,1977.02739726027,96,1,4,0.2,58.06,-0.5
10,2,1977,19,1977.02956621005,1977.02739726027,104,1,4.4,0.1,59.3,-0.6
10,2,1977,20,1977.0296803653,1977.02739726027,117,1,3.5,0,59.86,-0.6
10,2,1977,21,1977.02979452055,1977.02739726027,104,1,3,0.1,62.83,-0.6
10,2,1977,22,1977.0299086758,1977.02739726027,79,1,3.9,0.1,65.17,-0.6
10,2,1977,23,1977.03002283105,1977.02739726027,71,0,5.6,0.1,64.07,-0.699999999999999
11,3,1977,0,1977.0301369863,1977.0301369863,66,1,5.5,0,65.11,-0.51969696969697
11,3,1977,1,1977.03025114155,1977.0301369863,62,1,4.9,0.1,70.97,0.0803030303030297
11,3,1977,2,1977.0303652968,1977.0301369863,56,1,5.1,0.2,75.71,-0.01969696969697
11,3,1977,3,1977.03047945205,1977.0301369863,53,1,4.5,0.2,78.81,0.0803030303030297
11,3,1977,4,1977.03059360731,1977.0301369863,59,1,4.1,0.2,82.35,0.28030303030303
11,3,1977,5,1977.03070776256,1977.0301369863,68,1,4.1,0.2,83.12,0.0803030303030297
11,3,1977,6,1977.03082191781,1977.0301369863,65,1,3.1,0.1,83.81,0.18030303030303
11,3,1977,7,1977.03093607306,1977.0301369863,62,1,2.3,0.1,83.99,0.38030303030303
11,3,1977,8,1977.03105022831,1977.0301369863,69,1,2.2,0.3,80.18,0.28030303030303
11,3,1977,9,1977.03116438356,1977.0301369863,72,1,2.3,0.6,76.82,0.38030303030303
11,3,1977,10,1977.03127853881,1977.0301369863,71,1,2.3,0.5,73.61,0.78030303030303
11,3,1977,11,1977.03139269406,1977.0301369863,71,1,2.2,0.5,69.22,1.28030303030303
11,3,1977,12,1977.03150684932,1977.0301369863,109,1,3.5,0.5,69.01,1.58030303030303
11,3,1977,13,1977.03162100457,1977.0301369863,112,1,4.6,0.7,71.08,1.38030303030303
11,3,1977,14,1977.03173515982,1977.0301369863,114,1,5.2,0.6,71.88,0.78030303030303
11,3,1977,15,1977.03184931507,1977.0301369863,115,1,5.4,0.4,70.25,0.28030303030303
11,3,1977,16,1977.03196347032,1977.0301369863,131,1,4.8,0.5,67.72,-0.31969696969697
11,3,1977,17,1977.03207762557,1977.0301369863,154,0,5.7,0.8,62.5,-0.81969696969697
11,3,1977,18,1977.03219178082,1977.0301369863,162,0,6.2,1.2,58.94,-0.81969696969697
11,3,1977,19,1977.03230593607,1977.0301369863,161,1,5.2,1.7,62.29,-0.51969696969697
11,3,1977,20,1977.03242009132,1977.0301369863,154,1,4.8,1.8,65.97,-0.11969696969697
11,3,1977,21,1977.03253424658,1977.0301369863,140,1,5.2,1.7,69.76,0.38030303030303
11,3,1977,22,1977.03264840183,1977.0301369863,127,1,5.5,1.5,71.78,0.68030303030303
11,3,1977,23,1977.03276255708,1977.0301369863,120,1,5.2,1.3,75.32,0.98030303030303
12,4,1977,0,1977.03287671233,1977.03287671233,150,0,5.7,1.4,65.24,0.881439393939393
12,4,1977,1,1977.03299086758,1977.03287671233,151,0,6.4,1.6,46.31,0.181439393939393
12,4,1977,2,1977.03310502283,1977.03287671233,159,0,6.8,1.8,34.28,-0.218560606060607
12,4,1977,3,1977.03321917808,1977.03287671233,166,0,6.6,1.9,29.01,-0.318560606060607
12,4,1977,4,1977.03333333333,1977.03287671233,166,1,5.3,2,34.93,-0.318560606060607
12,4,1977,5,1977.03344748858,1977.03287671233,224,1,4.6,1.9,25.35,-1.11856060606061
12,4,1977,6,1977.03356164384,1977.03287671233,315,0,5,2,6.74,-3.31856060606061
12,4,1977,7,1977.03367579909,1977.03287671233,233,1,5.4,1.9,2.5,-4.01856060606061
12,4,1977,8,1977.03378995434,1977.03287671233,332,0,5.9,1.7,4.18,-3.61856060606061
12,4,1977,9,1977.03390410959,1977.03287671233,545,0,6.3,1.9,5.39,-3.31856060606061
12,4,1977,10,1977.03401826484,1977.03287671233,52,0,7,2.2,6.15,-3.01856060606061
12,4,1977,11,1977.03413242009,1977.03287671233,52,0,7.9,2.7,5.59,-2.91856060606061
12,4,1977,12,1977.03424657534,1977.03287671233,745,0,6.6,3.5,2.77,-3.11856060606061
12,4,1977,13,1977.03436073059,1977.03287671233,745,0,5,4,1.44,-3.61856060606061
12,4,1977,14,1977.03447488584,1977.03287671233,NaN,0,5,3.6,2.06,-3.81856060606061
12,4,1977,15,1977.0345890411,1977.03287671233,NaN,0,4.9,3.2,1.73,-3.81856060606061
12,4,1977,16,1977.03470319635,1977.03287671233,NaN,0,5.4,3.2,1.04,-3.81856060606061
12,4,1977,17,1977.0348173516,1977.03287671233,116,1,5.3,3.3,1.01,-3.41856060606061
12,4,1977,18,1977.03493150685,1977.03287671233,131,1,4.3,3.3,1.01,-2.91856060606061
